question_id,question,choices,correct
1,桓武天皇,"僧の政治への介入などにより遷都を決め、平安京へと都を移した,藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した,鎌倉幕府倒幕の動きを見せたものの、北条政子らの活躍で敗れ、隠岐に流された,天皇の位を早期に譲位し、自らは院で政治を行う院政を本格的に始めた",僧の政治への介入などにより遷都を決め、平安京へと都を移した
2,後醍醐天皇,"鎌倉幕府倒幕の動きを見せ、一度は失敗するが再度挑戦し幕府を倒した,藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した,天皇の位を早期に譲位し、自らは院で政治を行う院政を本格的に始めた,鎌倉幕府倒幕の動きを見せたものの、北条政子らの活躍で敗れ、隠岐に流された",鎌倉幕府倒幕の動きを見せ、一度は失敗するが再度挑戦し幕府を倒した
3,後鳥羽上皇,"鎌倉幕府倒幕の動きを見せたものの、北条政子らの活躍で敗れ、隠岐に流された,鎌倉幕府倒幕の動きを見せ、一度は失敗するが再度挑戦し幕府を倒した,僧の政治への介入などにより遷都を決め、平安京へと都を移した,藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した",鎌倉幕府倒幕の動きを見せたものの、北条政子らの活躍で敗れ、隠岐に流された
4,白河天皇,"天皇の位を早期に譲位し、自らは院で政治を行う院政を本格的に始めた,僧の政治への介入などにより遷都を決め、平安京へと都を移した,鎌倉幕府倒幕の動きを見せ、一度は失敗するが再度挑戦し幕府を倒した,藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した",天皇の位を早期に譲位し、自らは院で政治を行う院政を本格的に始めた
5,後三条天皇,"藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した,鎌倉幕府倒幕の動きを見せたものの、北条政子らの活躍で敗れ、隠岐に流された,天皇の位を早期に譲位し、自らは院で政治を行う院政を本格的に始めた,僧の政治への介入などにより遷都を決め、平安京へと都を移した",藤原氏の外戚関係が薄いことで、摂関政治をとめ天皇による親政を開始した
6,藤原道長,"摂関政治の最盛期を迎え、娘4人を天皇の妃にした,摂関政治の最盛期を迎え、浄土信仰の影響で平等院鳳凰堂を建立した,武士として初めて太政大臣に就任し、宋との貿易を行った,右大臣の位に就き、遣唐使の廃止を訴え、後に権力争いにより大宰府に送られた。",摂関政治の最盛期を迎え、娘4人を天皇の妃にした
7,藤原頼通,"摂関政治の最盛期を迎え、浄土信仰の影響で平等院鳳凰堂を建立した,摂関政治の最盛期を迎え、娘4人を天皇の妃にした,右大臣の位に就き、遣唐使の廃止を訴え、後に権力争いにより大宰府に送られた。,武士として初めて太政大臣に就任し、宋との貿易を行った",摂関政治の最盛期を迎え、浄土信仰の影響で平等院鳳凰堂を建立した
8,平清盛,"武士として初めて太政大臣に就任し、宋との貿易を行った,右大臣の位に就き、遣唐使の廃止を訴え、後に権力争いにより大宰府に送られた。,摂関政治の最盛期を迎え、娘4人を天皇の妃にした,摂関政治の最盛期を迎え、浄土信仰の影響で平等院鳳凰堂を建立した",武士として初めて太政大臣に就任し、宋との貿易を行った
9,菅原道真,"右大臣の位に就き、遣唐使の廃止を訴え、後に権力争いにより大宰府に送られた。,武士として初めて太政大臣に就任し、宋との貿易を行った,摂関政治の最盛期を迎え、浄土信仰の影響で平等院鳳凰堂を建立した,摂関政治の最盛期を迎え、娘4人を天皇の妃にした",右大臣の位に就き、遣唐使の廃止を訴え、後に権力争いにより大宰府に送られた。
10,源頼朝,"平氏討伐の密書を受け伊豆で挙兵し、のちに征夷大将軍に任命された。,平氏討伐の密書を受け、源氏の軍を率いて壇ノ浦で平家を滅ぼした。,後醍醐天皇の倒幕に協力し、のちに征夷大将軍になり新たな幕府を開いた。,太政大臣になると武士と貴族の頂点に立ち、明との貿易を行った。",平氏討伐の密書を受け伊豆で挙兵し、のちに征夷大将軍に任命された。
11,源義経,"平氏討伐の密書を受け、源氏の軍を率いて壇ノ浦で平家を滅ぼした。,平氏討伐の密書を受け伊豆で挙兵し、のちに征夷大将軍に任命された。,後醍醐天皇の倒幕に協力し、のちに征夷大将軍になり新たな幕府を開いた。,太政大臣になると武士と貴族の頂点に立ち、明との貿易を行った。",平氏討伐の密書を受け、源氏の軍を率いて壇ノ浦で平家を滅ぼした。
12,足利尊氏,"後醍醐天皇の倒幕に協力し、のちに征夷大将軍になり新たな幕府を開いた。,平氏討伐の密書を受け伊豆で挙兵し、のちに征夷大将軍に任命された。,平氏討伐の密書を受け、源氏の軍を率いて壇ノ浦で平家を滅ぼした。,太政大臣になると武士と貴族の頂点に立ち、明との貿易を行った。",後醍醐天皇の倒幕に協力し、のちに征夷大将軍になり新たな幕府を開いた。
